frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
49,1789863769.972255,7.202,100.120,0.002352,0.000336,180773.182185537
50,1789863770.022736,7.567,100.120,0.002352,0.000336,180773.232667406
51,1789863770.072580,7.328,100.120,0.002352,0.000336,180773.282510669
52,1789863770.128321,13.010,100.120,0.002352,0.000336,180773.338252218
53,1789863770.171547,6.176,100.120,0.002352,0.000336,180773.381477767
54,1789863770.221659,6.200,103.637,0.043212,0.021573,180773.431589975
55,1789863770.271869,6.330,103.637,0.043212,0.021573,180773.481800258
56,1789863770.321931,6.298,103.637,0.043212,0.021573,180773.531861938
57,1789863770.371960,6.230,103.637,0.043212,0.021573,180773.581891383
58,1789863770.422033,6.219,103.637,0.043212,0.021573,180773.631963778
59,1789863770.472209,6.337,103.637,0.043212,0.021573,180773.682140308
60,1789863770.522834,6.875,103.637,0.043212,0.021573,180773.732765199
61,1789863770.572907,6.885,103.637,0.043212,0.021573,180773.782838423
62,1789863770.623355,7.274,103.637,0.043212,0.021573,180773.833286567
63,1789863770.673443,7.292,103.637,0.043212,0.021573,180773.883374192
64,1789863770.724020,7.811,103.637,0.043212,0.021573,180773.933950601
65,1789863770.774165,7.900,103.637,0.043212,0.021573,180773.984096130
66,1789863770.824138,7.815,103.637,0.043212,0.021573,180774.034069501
67,1789863770.874328,7.850,103.637,0.043212,0.021573,180774.084259203
68,1789863770.924413,7.848,103.637,0.043212,0.021573,180774.134343869
69,1789863770.974454,7.802,103.637,0.043212,0.021573,180774.184384818
70,1789863771.024418,7.708,103.637,0.043212,0.021573,180774.234349133
71,1789863771.074511,7.700,103.637,0.043212,0.021573,180774.284441733
72,1789863771.124595,7.713,103.637,0.043212,0.021573,180774.334526431
73,1789863771.174698,7.731,103.637,0.043212,0.021573,180774.384629107
74,1789863771.224797,7.722,103.637,0.043212,0.021573,180774.434727811
75,1789863771.274866,7.728,103.637,0.043212,0.021573,180774.484797340
76,1789863771.324971,7.769,103.637,0.043212,0.021573,180774.534901719
77,1789863771.375094,7.832,103.637,0.043212,0.021573,180774.585025228
78,1789863771.425261,7.914,103.637,0.043212,0.021573,180774.635192240
79,1789863771.475284,7.825,103.637,0.043212,0.021573,180774.685214665
80,1789863771.525343,7.797,103.637,0.043212,0.021573,180774.735274248
81,1789863771.575514,7.872,103.637,0.043212,0.021573,180774.785445374
82,1789863771.639322,21.620,103.637,0.043212,0.021573,180774.849253193
83,1789863771.686324,18.540,103.637,0.043212,0.021573,180774.896254577
84,1789863771.723407,5.558,103.637,0.043212,0.021573,180774.933338013
85,1789863771.773091,5.180,100.120,0.002352,0.000336,180774.983021600
86,1789863771.823152,5.184,100.120,0.002352,0.000336,180775.033083189
87,1789863771.873826,5.738,100.120,0.002352,0.000336,180775.083757362
88,1789863771.923965,5.821,100.120,0.002352,0.000336,180775.133896199
89,1789863771.973454,5.248,100.120,0.002352,0.000336,180775.183384747
