seconds_from_gesture_start,frametime_ms
3.770664,15.8077
3.784004,13.339
3.800059,16.0543
3.817312,17.254
3.831379,14.0657
3.848146,16.7676
3.862001,13.8549
3.876574,14.5727
3.89365,17.0757
3.908,14.3484
3.92238,14.3798
3.936647,14.2675
3.952431,15.7836
3.967904,15.472
3.982339,14.435
3.997561,15.2203
4.012187,14.6262
4.027658,15.4707
4.042829,15.171
4.058025,15.1964
4.070955,12.929
4.085371,14.4151
4.103112,17.7381
4.117956,14.8465
4.132609,14.6527
4.147584,14.9755
4.1616,14.0147
4.177401,15.8002
4.192325,14.9236
4.20714,14.8153
4.222798,15.6575
4.237658,14.8595
4.253918,16.26
4.269329,15.4101
4.284283,14.9543
4.301427,17.1439
4.315865,14.4375
4.339213,23.3469
4.346419,7.20599
4.361395,14.9759
4.376832,15.4359
4.389541,12.7088
4.404718,15.1776
4.42079,16.0715
4.436948,16.1573
4.452302,15.3541
4.46593,13.6269
4.482075,16.1451
4.497028,14.9525
4.512989,15.9611
4.526967,13.9771
4.542107,15.1408
4.556295,14.1873
4.571321,15.0262
4.585815,14.4936
4.600915,15.1001
4.615221,14.303
4.630773,15.5549
4.646424,15.6502
4.66118,14.7566
4.676787,15.6057
4.693026,16.2382
4.708664,15.6385
4.723559,14.894
4.737608,14.0488
4.752836,15.2274
4.768398,15.562
4.782434,14.0354
4.797827,15.3931
4.812251,14.4232
4.82686,14.6088
4.842189,15.3291
4.858482,16.2904
4.873019,14.5385
4.887944,14.9247
4.90377,15.8258
4.918137,14.366
4.931956,13.8187
4.94653,14.5738
4.960798,14.2676
4.975584,14.7858
4.991395,15.8119
5.006063,14.6665
5.020653,14.5901
5.035386,14.7315
5.049634,14.2484
5.06393,14.2955
5.07966,15.7293
5.095569,15.9089
5.110344,14.775
5.125678,15.3299
5.140397,14.722
5.156412,16.0144
5.171086,14.6738
5.185863,14.7769
5.201356,15.4932
5.21583,14.4746
5.232111,16.2803
5.246878,14.7668
5.261181,14.3023
5.275703,14.5218
5.292009,16.3053
5.30583,13.8222
5.321124,15.2926
5.336159,15.0337
5.350557,14.3987
5.365622,15.0643
5.383159,17.5361
5.403048,19.8882
5.41352,10.4709
5.429714,16.1952
5.445054,15.3387
5.459877,14.8231
5.475742,15.8642
5.490027,14.2859
5.505592,15.5643
5.519977,14.385
5.536164,16.1873
5.55149,15.3255
5.565262,13.7717
5.58247,17.2085
5.596232,13.7611
5.611022,14.7893
5.626474,15.4505
5.641136,14.6637
5.656757,15.6206
5.673703,16.9453
5.687777,14.0729
5.703092,15.3156
5.717106,14.0134
5.734892,17.7857
5.749455,14.5627
5.763314,13.8597
5.781099,17.7849
5.795994,14.8946
5.809917,13.9222
5.824872,14.954
5.839954,15.0818
5.856035,16.0805
5.870775,14.7402
5.883987,13.2117
5.899168,15.1802
5.913873,14.705
5.929188,15.315
5.945367,16.1778
5.960927,15.5601
5.974471,13.5441
5.988961,14.4892
6.006976,18.0145
6.020813,13.837
6.03492,14.1062
6.050117,15.196
6.06409,13.9731
6.079728,15.6374
6.094625,14.8973
6.108323,13.6978
6.123519,15.1954
6.139414,15.8907
6.154514,15.1031
6.169449,14.9317
6.185378,15.9313
6.198918,13.54
6.213319,14.4009
6.228662,15.3425
6.243469,14.8069
6.2588,15.3301
6.274111,15.3106
6.289385,15.2741
6.303915,14.529
6.319722,15.807
6.333198,13.4761
6.348474,15.2751
6.36332,14.8457
6.378091,14.7709
6.392579,14.4884
6.408181,15.602
6.42365,15.4677
6.438151,14.5001
6.452907,14.7555
6.470027,17.1196
