seconds_from_gesture_start,frametime_ms
2.067224,8.197
2.075548,8.32417
2.083989,8.44105
2.092252,8.26247
2.100491,8.23914
2.108898,8.40679
2.117292,8.39346
2.125634,8.34169
2.133905,8.27187
2.142311,8.40561
2.150599,8.28804
2.158921,8.32152
2.167357,8.43599
2.175513,8.15585
2.184005,8.49144
2.192375,8.3703
2.200543,8.16764
2.209009,8.46615
2.217285,8.27516
2.225544,8.25945
2.233917,8.3727
2.242291,8.37348
2.250511,8.22068
2.25892,8.40819
2.267271,8.35091
2.275501,8.23047
2.283997,8.49583
2.292346,8.34881
2.300566,8.21959
2.309018,8.45197
2.317261,8.24025
2.325641,8.37926
2.333957,8.3158
2.34225,8.29303
2.350565,8.31525
2.358967,8.40172
2.36746,8.49206
2.375662,8.19872
2.384096,8.43634
2.392364,8.26662
2.400686,8.32319
2.408952,8.26577
2.417299,8.34651
2.425577,8.27789
2.433987,8.40969
2.442293,8.30603
2.450588,8.29478
2.459005,8.41692
2.46731,8.30398
2.475594,8.28423
2.484042,8.44707
2.492273,8.2319
2.500603,8.32944
2.508977,8.37245
2.517367,8.39021
2.525586,8.21946
2.534153,8.56688
2.542351,8.19855
2.550548,8.19563
2.559043,8.49548
2.567339,8.29541
2.575634,8.29408
2.583913,8.28027
2.592316,8.40214
2.600528,8.21189
2.60887,8.34179
2.617268,8.39761
2.625569,8.29982
2.633972,8.40463
2.6423,8.32751
2.650601,8.30114
2.65903,8.42661
2.667353,8.3239
2.675587,8.2341
2.683989,8.40108
2.692276,8.28698
2.70064,8.36325
2.709038,8.39846
2.717363,8.32447
2.725607,8.24339
2.733994,8.38681
2.742345,8.35049
2.750615,8.27027
2.758948,8.33298
2.767285,8.33624
2.775662,8.37635
2.783974,8.31181
2.792286,8.31187
2.800587,8.30094
2.808971,8.38346
2.817354,8.38336
2.825602,8.24814
2.834014,8.41108
2.842298,8.2837
2.850702,8.40429
2.858999,8.29612
2.867357,8.35794
2.875693,8.33139
2.883985,8.29554
2.89233,8.34468
2.900666,8.33562
2.909006,8.34031
2.917321,8.31515
2.925597,8.27538
2.934019,8.42173
2.942295,8.27577
2.950705,8.40952
2.958968,8.26291
2.96741,8.4415
2.975638,8.22822
2.984022,8.38342
2.992329,8.30694
3.000719,8.38968
3.008986,8.26642
3.017382,8.39595
3.025653,8.27046
3.033987,8.33401
3.042336,8.3476
3.050644,8.30887
3.059003,8.35759
3.067368,8.36452
3.075921,8.55327
3.084262,8.341
3.092551,8.28691
3.100913,8.36344
3.109246,8.33289
3.117522,8.27631
3.125891,8.36851
3.134195,8.3042
3.142449,8.25345
3.150908,8.45984
3.159171,8.26202
3.167478,8.3074
3.175849,8.37034
3.184246,8.39585
3.192455,8.2093
3.200977,8.52134
3.209299,8.32307
3.217515,8.21537
3.225964,8.44927
3.234312,8.34744
3.242465,8.1531
3.250911,8.44638
3.25916,8.24839
3.267521,8.36087
3.275908,8.38675
3.284133,8.22473
3.292483,8.35009
3.300808,8.32485
3.309259,8.45006
3.317579,8.32034
3.32584,8.26143
3.334184,8.34357
3.342531,8.34649
3.350927,8.39562
3.359169,8.24156
3.367581,8.41227
3.375855,8.2698
3.384244,8.39295
3.392454,8.21004
3.400958,8.5038
3.409298,8.33988
3.417633,8.33541
3.425936,8.30184
3.434292,8.35655
3.442537,8.24389
3.451021,8.48345
3.459349,8.32883
3.467602,8.25171
3.475973,8.37189
3.484302,8.32848
3.492554,8.25167
3.500965,8.41127
3.509298,8.33166
3.51759,8.2922
3.525996,8.40502
3.534289,8.29263
3.542538,8.2497
3.550965,8.42695
3.559298,8.333
3.567651,8.3529
3.575866,8.2151
3.584268,8.40129
3.592485,8.21737
3.601015,8.52885
3.609275,8.26058
3.617513,8.23755
3.625943,8.4297
3.63422,8.27674
3.64257,8.34879
3.650939,8.36989
3.659218,8.27874
3.667552,8.33345
3.675941,8.38892
3.684226,8.28503
3.692474,8.24843
3.700948,8.47377
3.709229,8.28033
3.717551,8.32187
3.725837,8.28588
3.734213,8.37606
3.742468,8.25549
3.750841,8.37302
3.75921,8.36827
3.767473,8.2626
3.775913,8.4403
3.784183,8.27004
3.792463,8.27966
3.800964,8.50021
3.809343,8.37796
3.8176,8.25766
3.825936,8.33514
3.834304,8.36814
3.842541,8.2366
3.850991,8.44898
3.859393,8.40149
3.867604,8.21076
3.875976,8.36799
3.884307,8.33434
3.892567,8.26088
3.900935,8.36694
3.909248,8.31277
3.917594,8.34593
3.9259,8.30577
3.934253,8.35276
3.942516,8.26337
3.95095,8.43288
3.959238,8.28828
3.967611,8.3717
3.975883,8.27204
3.984234,8.35072
3.992559,8.32563
4.000922,8.36212
4.00931,8.38739
4.01759,8.28056
4.025943,8.35255
4.034283,8.33947
4.042605,8.32251
4.05092,8.3144
4.059303,8.38216
4.067585,8.28228
4.075921,8.33556
4.08426,8.33858
4.092605,8.34502
4.100982,8.37605
4.109291,8.3085
4.117599,8.30839
4.125948,8.34791
4.134285,8.33611
4.142933,8.64786
4.151118,8.1861
4.159464,8.34417
4.167917,8.45377
4.17609,8.17277
4.184518,8.42684
4.192839,8.32164
4.201195,8.35559
4.209425,8.22985
4.217833,8.40725
4.226199,8.36583
4.234378,8.17925
4.242872,8.4938
4.251159,8.28637
4.2594,8.24054
4.267776,8.37617
4.276211,8.43448
4.284354,8.14379
4.292721,8.36733
4.301148,8.42603
4.309409,8.26103
4.317812,8.40301
4.326069,8.25644
4.334517,8.44845
4.342728,8.21094
4.351073,8.3445
4.3596,8.52727
4.367724,8.12385
4.376164,8.43586
4.384356,8.19536
4.392862,8.50582
4.401301,8.43809
4.409517,8.2152
4.417774,8.25775
4.426182,8.40821
4.434401,8.21807
4.442941,8.53967
4.451177,8.2363
4.45948,8.30311
4.4679,8.42007
4.476119,8.21871
4.484409,8.2904
4.492812,8.4027
4.501091,8.27849
4.509379,8.2877
4.517719,8.34034
4.526131,8.4119
4.534467,8.33616
4.542883,8.41579
4.551198,8.31273
4.559525,8.32768
4.567896,8.37174
4.576159,8.26284
4.584396,8.23606
4.592773,8.37786
4.601206,8.43155
4.609438,8.23208
4.617803,8.36451
4.626211,8.40804
4.63443,8.21856
4.642791,8.36086
4.651152,8.36078
4.659572,8.41942
4.667892,8.31886
4.676207,8.31483
4.684439,8.23158
4.692848,8.40958
4.701247,8.39849
4.709468,8.22163
4.71793,8.46023
4.726272,8.3428
4.734468,8.19644
4.742754,8.28509
4.751206,8.45285
4.759535,8.32873
4.767835,8.29986
4.776098,8.26221
4.784465,8.36685
4.792818,8.35347
4.801165,8.34673
4.809434,8.26945
4.817879,8.44402
4.826331,8.45197
4.834455,8.12387
4.842868,8.41269
4.851252,8.38378
4.859435,8.18339
4.867823,8.38796
4.876179,8.35202
4.884409,8.23279
4.892784,8.37491
4.901308,8.52427
4.909466,8.15736
4.917799,8.33396
4.926185,8.38526
4.934442,8.25686
4.942913,8.47057
4.951177,8.2644
4.959523,8.3455
4.967795,8.27192
4.976153,8.35804
4.984536,8.383
4.99276,8.22398
5.001231,8.47097
5.009515,8.28381
5.017892,8.37636
5.026215,8.32228
5.034521,8.30603
5.042911,8.39038
5.051126,8.21415
5.059929,8.8021
5.067871,7.94118
5.076209,8.33791
5.084508,8.29937
5.092878,8.36896
5.10121,8.33236
5.109477,8.2669
5.117899,8.42129
5.126251,8.35201
5.134489,8.23879
5.142858,8.36873
5.151153,8.29529
5.159499,8.34543
5.167774,8.27462
5.176275,8.4996
5.184486,8.2109
5.192897,8.41029
5.205067,12.1696
5.213382,8.31555
5.221759,8.3756
5.230114,8.35521
5.238411,8.29702
5.246686,8.27484
5.255087,8.40049
5.263401,8.3139
5.271738,8.33652
5.280101,8.36241
5.288407,8.3055
5.29678,8.37305
5.305163,8.38233
5.313417,8.25387
5.321739,8.3222
5.330158,8.41794
5.338372,8.21426
5.346711,8.33906
5.355067,8.35536
5.363401,8.33293
5.371715,8.31388
5.380065,8.34627
5.388394,8.33222
5.396693,8.2995
5.405066,8.37309
5.413393,8.32581
5.42174,8.34701
5.430103,8.36213
5.43838,8.27766
5.446702,8.32134
5.455079,8.37669
5.463431,8.35175
5.471789,8.35749
5.480074,8.28518
5.488425,8.35047
5.496769,8.34377
5.505094,8.32465
5.513431,8.33732
5.521791,8.35991
5.530086,8.29434
5.538403,8.31695
5.546719,8.31608
5.55507,8.35065
5.563405,8.33432
5.571757,8.3517
5.580086,8.3295
5.588473,8.38622
5.596681,8.20759
5.605066,8.3852
5.613428,8.36173
5.62185,8.42128
5.630134,8.27835
5.638423,8.29415
5.64678,8.35734
5.655104,8.32413
5.663584,8.47888
5.671858,8.27345
5.680194,8.33555
5.688544,8.34921
5.696931,8.38671
5.705279,8.34756
5.713567,8.28771
5.72192,8.35268
5.730181,8.2613
5.738485,8.30443
5.746763,8.27829
5.75515,8.38693
5.763422,8.27206
5.77178,8.35777
5.780139,8.35842
5.788465,8.32567
5.796657,8.19159
5.805207,8.54984
5.813436,8.22944
5.821705,8.26886
5.830157,8.45217
5.838545,8.38697
5.846679,8.13423
5.855138,8.45887
5.86338,8.24209
5.871749,8.36856
5.880174,8.42314
5.888475,8.30276
5.896734,8.25801
5.905067,8.3336
5.913403,8.33599
5.921765,8.36136
5.930179,8.4142
5.938369,8.18932
5.946742,8.37361
5.955107,8.36477
5.963454,8.34578
5.971728,8.27483
5.980119,8.39075
5.988408,8.28853
5.996701,8.29301
6.005095,8.39418
6.013439,8.34311
6.021836,8.39669
6.030079,8.24346
6.038465,8.38555
6.046801,8.33583
6.055035,8.2343
6.063436,8.40085
6.071886,8.44952
6.080385,8.49894
6.088527,8.14087
6.096878,8.35186
6.105103,8.22448
6.113455,8.35162
6.121866,8.41163
6.130174,8.30734
6.138435,8.26108
6.146688,8.25226
6.155098,8.41048
6.163356,8.25752
6.17172,8.36436
6.180072,8.35157
6.188423,8.34946
6.196712,8.28988
6.205163,8.45058
6.213388,8.22546
6.221773,8.38487
6.230137,8.36325
6.23844,8.30246
6.24673,8.29037
6.255163,8.433
6.263514,8.35063
6.277155,13.64
6.285436,8.28077
6.293789,8.35291
6.302172,8.38319
6.310433,8.26003
6.31882,8.38586
6.327214,8.39409
6.335542,8.32794
6.343822,8.28045
6.35212,8.29727
6.3604,8.28022
6.368817,8.41645
6.377161,8.34382
6.385428,8.26236
6.393761,8.33665
6.402048,8.28719
6.410426,8.37728
6.418821,8.39478
6.42716,8.33929
6.435395,8.23536
6.443768,8.3717
6.452105,8.33702
6.460463,8.35733
6.468846,8.38201
6.47717,8.32362
6.485508,8.33732
6.493824,8.31629
6.50215,8.32528
6.51042,8.27039
6.518846,8.42591
6.527139,8.29307
6.535381,8.24146
6.543698,8.31694
6.552171,8.47146
6.560428,8.25722
6.568845,8.41747
6.577139,8.29341
6.585513,8.37382
6.593872,8.35851
6.602129,8.25755
6.610346,8.21581
6.618868,8.52174
6.627034,8.16637
6.635424,8.38984
6.643781,8.35705
6.652111,8.32924
6.660403,8.29223
6.668842,8.4386
6.677161,8.31827
6.685432,8.27065
6.693813,8.38104
6.702321,8.50755
6.710471,8.14974
6.718745,8.27477
6.727191,8.4442
6.735466,8.27608
6.743789,8.32148
6.752089,8.30001
6.760448,8.35869
6.76881,8.36124
6.777124,8.31466
6.785407,8.28277
6.793869,8.46177
6.802138,8.26841
6.810425,8.28731
6.81877,8.3447
6.82723,8.45979
6.835445,8.21411
6.843803,8.35822
6.852154,8.35
6.860443,8.28884
6.868833,8.39051
6.877104,8.27011
6.885394,8.28935
6.893758,8.36016
6.902278,8.52452
6.910532,8.2537
6.918833,8.3016
6.92707,8.23675
6.935542,8.47178
6.943738,8.19556
6.952415,8.67723
6.96049,8.07423
6.96876,8.27057
6.977126,8.36542
6.985482,8.35622
6.993825,8.34227
7.002193,8.3676
7.010372,8.17933
7.018814,8.44201
7.027084,8.27028
7.03539,8.30467
7.043836,8.44662
