seconds_from_gesture_start,frametime_ms
2.852719,12.2792
2.867487,14.7686
2.877423,9.93588
2.889563,12.1395
2.909485,19.9215
2.914558,5.07285
2.92786,13.3016
2.942131,14.2696
2.952104,9.97409
2.965083,12.9786
2.979369,14.2852
2.989629,10.2601
3.00198,12.3498
3.016336,14.3559
3.027236,10.9001
3.039289,12.052
3.053718,14.4291
3.063772,10.053
3.075573,11.8016
3.0898,14.2265
3.099374,9.57371
3.111939,12.564
3.128791,16.852
3.138236,9.44426
3.150626,12.3851
3.164345,13.7226
3.174149,9.80385
3.1887,14.5506
3.202829,14.1293
3.212944,10.1146
3.225303,12.3592
3.240573,15.2694
3.250215,9.64104
3.262351,12.1359
3.275954,13.6027
3.28659,10.6356
3.298815,12.2256
3.314644,15.829
3.325397,10.7527
3.337673,12.2759
3.352603,14.9293
3.362546,9.94306
3.373306,10.7599
3.386392,13.0861
3.39808,11.6864
3.412506,14.4259
3.426661,14.1548
3.437462,10.8006
3.449488,12.0257
3.46299,13.5012
3.473425,10.4351
3.48587,12.4452
3.499833,13.9625
3.510566,10.733
3.522622,12.0557
3.538439,15.8153
3.549132,10.6934
3.560863,11.7318
3.574988,14.1246
3.585364,10.376
3.598253,12.8847
3.612615,14.3618
3.623019,10.4036
3.637681,14.6616
3.651952,14.2676
3.661006,9.05773
3.673026,12.0197
3.687399,14.3728
3.697797,10.3975
3.710481,12.6834
3.725066,14.5854
3.735543,10.4759
3.748319,12.7758
3.762366,14.0466
3.773033,10.6673
3.785598,12.5648
3.800032,14.4339
3.810177,10.1447
3.822123,11.9454
3.838729,16.6064
3.848642,9.91172
3.860204,11.5624
3.874533,14.3289
3.885111,10.5782
3.89699,11.8783
3.911368,14.3778
3.921769,10.4009
3.935521,13.7522
3.949467,13.9461
3.973475,24.0067
3.977618,4.14321
3.988483,10.8644
3.998645,10.1601
4.008128,9.48408
4.021448,13.3202
4.033182,11.7337
4.045245,12.0623
4.059624,14.3786
4.070335,10.7106
4.084295,13.96
4.098759,14.4648
4.107504,8.74463
4.119854,12.3501
4.133897,14.0424
4.144526,10.6284
4.158674,14.1447
4.172524,13.8519
4.18424,11.7166
4.197084,12.8436
4.209833,12.7482
4.221671,11.8373
4.233782,12.1099
4.24811,14.3285
4.258832,10.7215
4.271202,12.3696
4.284977,13.7751
4.294512,9.53456
4.307024,12.5124
4.321191,14.1656
4.331569,10.3785
4.344219,12.6495
4.358171,13.951
4.36779,9.61945
4.380415,12.6243
4.393862,13.4473
4.40538,11.5173
4.418104,12.7231
4.432894,14.7897
4.445432,12.5379
4.457133,11.7004
4.470486,13.3531
4.480923,10.4367
4.493596,12.6733
4.507622,14.0245
4.518106,10.4839
4.530941,12.835
4.547422,16.4812
4.5572,9.77742
4.569797,12.5964
4.584391,14.5934
4.594909,10.5181
4.60656,11.6512
4.620413,13.8518
4.63239,11.977
4.645001,12.6111
4.658166,13.164
4.668534,10.3653
4.680673,12.1418
4.693928,13.2551
4.705568,11.6388
4.718501,12.9329
4.732655,14.1535
4.743347,10.6916
4.755575,12.2282
4.771974,16.3985
4.781158,9.18388
4.795406,14.2476
4.807954,12.5473
4.818504,10.5503
4.831119,12.6144
4.844151,13.0316
4.855554,11.4028
4.868174,12.6197
4.882529,14.3551
4.893394,10.8641
4.908057,14.6618
4.922141,14.0843
4.932403,10.2625
4.943595,11.1915
4.959894,16.2972
4.97029,10.3966
4.982388,12.0978
4.996911,14.5221
5.007229,10.3182
5.019857,12.6266
5.040883,21.0265
5.045692,4.8083
5.058322,12.63
5.074279,15.9562
5.082868,8.58926
5.094629,11.7601
5.109953,15.3233
5.120698,10.7456
5.133234,12.5355
5.148138,14.9038
5.157969,9.82917
5.170488,12.517
5.185142,14.656
5.195466,10.3233
5.20717,11.7042
5.221143,13.9729
5.232448,11.3042
5.244909,12.462
5.259796,14.8867
5.26952,9.7234
5.281276,11.7564
5.295851,14.5738
5.307603,11.7523
5.319127,11.5241
5.333547,14.4201
5.343628,10.0809
5.356076,12.4477
5.371004,14.9268
5.38056,9.55684
5.393741,13.1783
5.407615,13.8747
5.418302,10.6865
5.430036,11.7329
5.44464,14.6038
5.455184,10.5443
5.467856,12.6715
5.482236,14.3794
5.492732,10.4954
5.504835,12.1032
5.519087,14.2508
5.52937,10.2833
5.540577,11.2075
5.555138,14.5602
5.565614,10.4759
5.579464,13.8493
5.593998,14.5328
5.603451,9.45356
5.616407,12.9554
5.631743,15.3358
5.641628,9.88532
5.652986,11.3568
5.667694,14.7064
5.678234,10.5365
5.690637,12.4071
5.703438,12.8009
5.715765,12.3272
5.730322,14.5559
5.743965,13.6425
5.754273,10.3095
5.766733,12.4597
5.780589,13.8547
5.790512,9.92263
5.802762,12.2495
5.819199,16.4362
5.829035,9.83523
5.840277,11.2432
5.855556,15.2781
5.866602,11.0454
5.87873,12.1274
5.891971,13.2394
5.902421,10.4515
5.914084,11.663
5.928957,14.8731
5.938428,9.47113
5.952307,13.8773
5.967993,15.6854
5.977854,9.86174
5.990206,12.351
6.004747,14.5411
6.014719,9.97185
6.026477,11.7577
6.040785,14.3067
6.052688,11.9036
6.064883,12.1938
6.078036,13.1536
6.090586,12.549
6.10922,18.6344
6.118559,9.33882
6.128294,9.73459
6.13827,9.97573
6.152328,14.0585
6.163779,11.4501
6.177391,13.612
6.191532,14.1383
6.202087,10.5578
6.213839,11.7523
6.227145,13.3041
6.239108,11.9627
6.251691,12.5828
6.265266,13.5754
6.277635,12.3687
6.289564,11.929
6.303637,14.0723
6.314022,10.3851
6.32558,11.5566
6.340074,14.4937
6.35019,10.1164
6.362585,12.3949
6.3769,14.3148
6.387303,10.4032
6.399401,12.0961
6.412344,12.9433
6.423039,10.6951
6.435651,12.6111
6.449759,14.1085
6.460373,10.6138
6.473888,13.5148
6.487659,13.7711
6.498995,11.3364
6.511672,12.677
6.526137,14.4637
6.536591,10.4541
6.549062,12.4708
6.563977,14.9151
6.574039,10.062
6.586385,12.3456
6.60075,14.365
6.611402,10.6507
6.623736,12.3322
6.638189,14.455
6.646664,8.47511
6.661047,14.3829
6.675421,14.374
6.685254,9.83262
6.696735,11.4776
6.711058,14.326
6.72317,12.1103
6.734604,11.4347
6.748353,13.7481
6.760838,12.4834
6.772629,11.7922
6.785578,12.9481
6.796191,10.6127
6.808784,12.5932
6.823297,14.5122
6.833246,9.94885
6.845627,12.381
6.860165,14.5375
6.8708,10.635
6.883374,12.5736
6.897599,14.2254
6.908468,10.8686
6.921181,12.7126
6.935291,14.1088
6.945753,10.4622
6.958315,12.5617
6.972813,14.498
6.983222,10.4083
6.995518,12.296
7.010045,14.5261
