frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
42,1789864407.552194,4.301,86.715,0.053965,0.155444,181410.762124557
43,1789864407.603913,5.939,86.715,0.053965,0.155444,181410.813843652
44,1789864407.653174,5.121,86.715,0.053965,0.155444,181410.863105460
45,1789864407.702151,3.979,86.715,0.053965,0.155444,181410.912082166
46,1789864407.752473,4.225,86.715,0.053965,0.155444,181410.962404102
47,1789864407.802486,4.177,86.715,0.053965,0.155444,181411.012417166
48,1789864407.852950,4.582,86.715,0.053965,0.155444,181411.062880929
49,1789864407.903274,4.853,86.921,0.048589,0.155376,181411.113204992
50,1789864407.952929,4.416,86.921,0.048589,0.155376,181411.162860027
51,1789864408.003658,4.950,86.921,0.048589,0.155376,181411.213589049
52,1789864408.053813,5.047,86.921,0.048589,0.155376,181411.263743765
53,1789864408.103493,4.665,86.921,0.048589,0.155376,181411.313424058
54,1789864408.153661,4.773,86.921,0.048589,0.155376,181411.363591975
55,1789864408.203573,4.623,86.921,0.048589,0.155376,181411.413503655
56,1789864408.253817,4.767,86.921,0.048589,0.155376,181411.463748024
57,1789864408.303971,4.816,86.921,0.048589,0.155376,181411.513902288
58,1789864408.354508,5.292,86.921,0.048589,0.155376,181411.564439154
59,1789864408.410323,11.042,86.729,0.048925,0.155712,181411.620253749
60,1789864408.456771,6.706,86.729,0.048925,0.155712,181411.666701985
61,1789864408.503971,3.893,86.729,0.048925,0.155712,181411.713902125
62,1789864408.554479,4.344,86.729,0.048925,0.155712,181411.764410478
63,1789864408.604552,4.357,86.729,0.048925,0.155712,181411.814483393
64,1789864408.654548,4.289,86.729,0.048925,0.155712,181411.864478948
65,1789864408.704429,4.107,86.729,0.048925,0.155712,181411.914360133
66,1789864408.754495,4.112,86.729,0.048925,0.155712,181411.964425976
67,1789864408.804688,4.231,86.729,0.048925,0.155712,181412.014619254
68,1789864408.856794,6.257,103.445,0.043548,0.021909,181412.066725162
69,1789864408.910383,9.768,103.445,0.043548,0.021909,181412.120313929
70,1789864408.955079,4.403,103.445,0.043548,0.021909,181412.165009707
71,1789864409.006987,6.252,103.445,0.043548,0.021909,181412.216917803
72,1789864409.056858,4.451,103.445,0.043548,0.021909,181412.266789007
73,1789864409.107375,4.905,103.445,0.043548,0.021909,181412.317306145
74,1789864409.157049,4.516,103.445,0.043548,0.021909,181412.366980044
75,1789864409.207169,4.536,103.445,0.043548,0.021909,181412.417099460
76,1789864409.257276,4.584,103.445,0.043548,0.021909,181412.467206635
77,1789864409.307371,4.600,103.445,0.043548,0.021909,181412.517301619
78,1789864409.358454,5.619,103.445,0.043548,0.021909,181412.568385606
79,1789864409.408365,5.469,103.445,0.043548,0.021909,181412.618296570
80,1789864409.459087,6.125,103.445,0.043548,0.021909,181412.669017814
81,1789864409.507963,4.937,103.445,0.043548,0.021909,181412.717893883
82,1789864409.557822,4.744,103.445,0.043548,0.021909,181412.767753428
83,1789864409.606964,3.824,103.445,0.043548,0.021909,181412.816895331
84,1789864409.657423,4.221,103.445,0.043548,0.021909,181412.867353879
85,1789864409.713254,9.991,103.637,0.043212,0.021573,181412.923185509
86,1789864409.761837,8.228,103.637,0.043212,0.021573,181412.971767590
87,1789864409.807699,4.035,103.637,0.043212,0.021573,181413.017630087
88,1789864409.857760,4.017,103.637,0.043212,0.021573,181413.067690575
89,1789864409.908263,4.441,103.637,0.043212,0.021573,181413.118194092
