frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
260,1789864092.022710,7.921,103.637,0.043212,0.021573,181095.232641367
261,1789864092.072623,7.745,103.637,0.043212,0.021573,181095.282553883
262,1789864092.122784,7.807,103.637,0.043212,0.021573,181095.332714683
263,1789864092.172932,7.840,103.637,0.043212,0.021573,181095.382863342
264,1789864092.223044,7.864,103.637,0.043212,0.021573,181095.432975509
265,1789864092.273011,7.773,103.637,0.043212,0.021573,181095.482942177
266,1789864092.323201,7.876,103.637,0.043212,0.021573,181095.533132602
267,1789864092.373422,8.039,103.637,0.043212,0.021573,181095.583353142
268,1789864092.422741,7.299,103.637,0.043212,0.021573,181095.632672401
269,1789864092.472966,7.466,103.637,0.043212,0.021573,181095.682896896
270,1789864092.523158,7.571,103.637,0.043212,0.021573,181095.733088706
271,1789864092.573129,7.438,103.637,0.043212,0.021573,181095.783060209
272,1789864092.623202,7.398,103.637,0.043212,0.021573,181095.833133524
273,1789864092.673249,7.328,103.637,0.043212,0.021573,181095.883179597
274,1789864092.723528,7.528,103.637,0.043212,0.021573,181095.933459527
275,1789864092.773601,7.471,103.637,0.043212,0.021573,181095.983531725
276,1789864092.823976,7.767,103.637,0.043212,0.021573,181096.033907125
277,1789864092.873868,7.546,103.637,0.043212,0.021573,181096.083798992
278,1789864092.923922,7.464,103.637,0.043212,0.021573,181096.133853383
279,1789864092.974066,7.493,103.637,0.043212,0.021573,181096.183997602
280,1789864093.024135,7.478,103.637,0.043212,0.021573,181096.234065897
281,1789864093.073985,7.199,103.637,0.043212,0.021573,181096.283915810
282,1789864093.124311,7.421,103.637,0.043212,0.021573,181096.334241882
283,1789864093.174353,7.398,103.637,0.043212,0.021573,181096.384284422
284,1789864093.224571,7.496,103.637,0.043212,0.021573,181096.434502248
285,1789864093.274650,7.373,103.637,0.043212,0.021573,181096.484580664
286,1789864093.325045,7.628,103.637,0.043212,0.021573,181096.534976239
287,1789864093.375150,7.577,103.637,0.043212,0.021573,181096.585081356
288,1789864093.425157,7.509,103.637,0.043212,0.021573,181096.635088123
289,1789864093.475124,7.275,103.637,0.043212,0.021573,181096.685055319
290,1789864093.525262,7.279,103.637,0.043212,0.021573,181096.735193161
291,1789864093.575468,7.363,103.637,0.043212,0.021573,181096.785398859
292,1789864093.625439,7.257,103.637,0.043212,0.021573,181096.835369739
293,1789864093.675448,7.209,103.637,0.043212,0.021573,181096.885378571
294,1789864093.725524,7.226,103.637,0.043212,0.021573,181096.935455214
295,1789864093.775796,7.422,103.637,0.043212,0.021573,181096.985727095
296,1789864093.825838,7.388,103.637,0.043212,0.021573,181097.035768666
297,1789864093.876388,7.876,103.637,0.043212,0.021573,181097.086318979
298,1789864093.926392,7.821,103.637,0.043212,0.021573,181097.136323417
299,1789864093.976362,7.708,103.637,0.043212,0.021573,181097.186292778
300,1789864094.026475,7.736,103.637,0.043212,0.021573,181097.236406561
301,1789864094.076504,7.686,103.637,0.043212,0.021573,181097.286434863
302,1789864094.126672,7.774,103.637,0.043212,0.021573,181097.336603190
303,1789864094.176755,7.771,103.637,0.043212,0.021573,181097.386686164
304,1789864094.226875,7.834,103.637,0.043212,0.021573,181097.436805942
305,1789864094.276966,7.841,103.637,0.043212,0.021573,181097.486897143
306,1789864094.327023,7.835,103.637,0.043212,0.021573,181097.536953768
307,1789864094.377105,7.857,103.637,0.043212,0.021573,181097.587035674
308,1789864094.427135,7.802,103.637,0.043212,0.021573,181097.637066410
309,1789864094.477265,7.845,103.637,0.043212,0.021573,181097.687195992
310,1789864094.527311,7.811,103.637,0.043212,0.021573,181097.737242326
311,1789864094.577336,7.777,103.637,0.043212,0.021573,181097.787266973
312,1789864094.627351,7.731,103.637,0.043212,0.021573,181097.837281631
313,1789864094.677469,7.791,103.637,0.043212,0.021573,181097.887399443
314,1789864094.727612,7.852,103.637,0.043212,0.021573,181097.937542777
315,1789864094.777659,7.817,103.637,0.043212,0.021573,181097.987589821
316,1789864094.827672,7.771,103.637,0.043212,0.021573,181098.037603017
